[2026-07-20T01:28:34.996Z] === Item Extractor Started ===
[2026-07-20T01:28:34.997Z] WS addEventListener hooked
[2026-07-20T01:28:34.997Z] WebSocket hooked
[2026-07-20T01:28:34.999Z] RES module not found
[2026-07-20T01:28:38.000Z] --- Phase 2 ---
[2026-07-20T01:28:38.000Z] Starting deep scan...
[2026-07-20T01:28:38.001Z] SCAN: found 78 items at go.versionObj.res.groups
[2026-07-20T01:28:38.001Z] SCAN: found 78 items at go.versionObj.res.resources
[2026-07-20T01:28:38.001Z] Deep scan complete
[2026-07-20T01:28:38.001Z] RES module not found
[2026-07-20T01:28:39.404Z] WS send cmd=34835
[2026-07-20T01:28:39.488Z] WS send cmd=38206
[2026-07-20T01:28:39.488Z] WS send cmd=33086
[2026-07-20T01:28:43.001Z] --- Phase 3 ---
[2026-07-20T01:28:43.001Z] Starting deep scan...
[2026-07-20T01:28:43.002Z] Deep scan complete
[2026-07-20T01:28:48.299Z] WS send cmd=62561
[2026-07-20T01:28:48.395Z] WS send cmd=36627
[2026-07-20T01:28:48.482Z] WS send cmd=33870
[2026-07-20T01:28:49.677Z] WS send cmd=33086
[2026-07-20T01:28:50.005Z] --- Phase 4 ---
[2026-07-20T01:28:50.005Z] Starting deep scan...
[2026-07-20T01:28:50.005Z] Deep scan complete
[2026-07-20T01:28:50.005Z] === Extractor Initialized ===
[2026-07-20T01:28:53.852Z] WS send cmd=256
[2026-07-20T01:28:53.912Z] WS send cmd=4391
[2026-07-20T01:28:53.912Z] WS send cmd=38206
[2026-07-20T01:28:53.912Z] WS send cmd=33086
[2026-07-20T01:28:55.227Z] WS send cmd=512
[2026-07-20T01:28:55.452Z] WS send cmd=1833
[2026-07-20T01:28:55.454Z] WS send cmd=2411
[2026-07-20T01:28:55.454Z] WS send cmd=31042
[2026-07-20T01:28:55.455Z] WS send cmd=18545
[2026-07-20T01:28:55.455Z] WS send cmd=19057
[2026-07-20T01:28:55.455Z] WS send cmd=19569
[2026-07-20T01:28:55.455Z] WS send cmd=19535
[2026-07-20T01:28:55.455Z] WS send cmd=45409
[2026-07-20T01:28:55.455Z] WS send cmd=52586
[2026-07-20T01:28:55.455Z] WS send cmd=64377
[2026-07-20T01:28:55.455Z] WS send cmd=5931
[2026-07-20T01:28:55.473Z] WS send cmd=45135
[2026-07-20T01:28:55.473Z] WS send cmd=61525
[2026-07-20T01:28:55.506Z] WS send cmd=21846
[2026-07-20T01:28:55.639Z] WS send cmd=42296
[2026-07-20T01:28:55.640Z] WS send cmd=42296
[2026-07-20T01:28:55.641Z] WS send cmd=42296
[2026-07-20T01:28:55.642Z] WS send cmd=42296
[2026-07-20T01:28:55.643Z] WS send cmd=42296
[2026-07-20T01:28:55.644Z] WS send cmd=42296
[2026-07-20T01:28:55.645Z] WS send cmd=42296
[2026-07-20T01:28:55.712Z] WS send cmd=21846
[2026-07-20T01:28:55.712Z] WS send cmd=9310
[2026-07-20T01:28:55.712Z] WS send cmd=10023
[2026-07-20T01:28:55.712Z] WS send cmd=10023
[2026-07-20T01:28:55.716Z] WS send cmd=50026
[2026-07-20T01:28:58.321Z] WS send cmd=60716
[2026-07-20T01:28:59.475Z] WS send cmd=58158
[2026-07-20T01:28:59.843Z] WS send cmd=58158
[2026-07-20T01:29:00.067Z] WS send cmd=58158
[2026-07-20T01:29:00.259Z] WS send cmd=58158
[2026-07-20T01:29:04.976Z] WS send cmd=33086
[2026-07-20T01:29:15.991Z] WS send cmd=33086
[2026-07-20T01:29:17.718Z] WS send cmd=2605
[2026-07-20T01:29:18.621Z] WS send cmd=58158
[2026-07-20T01:29:24.007Z] WS send cmd=38206
[2026-07-20T01:29:25.566Z] WS send cmd=58158
[2026-07-20T01:29:25.790Z] WS send cmd=58158
[2026-07-20T01:29:25.997Z] WS send cmd=58158
[2026-07-20T01:29:26.197Z] WS send cmd=58158
[2026-07-20T01:29:27.007Z] WS send cmd=33086
[2026-07-20T01:29:37.456Z] WS send cmd=33086
[2026-07-20T01:29:48.688Z] WS send cmd=33086
[2026-07-20T01:29:54.788Z] WS send cmd=38206
[2026-07-20T01:29:59.871Z] WS send cmd=33086
[2026-07-20T01:30:11.053Z] WS send cmd=33086
[2026-07-20T01:30:22.235Z] WS send cmd=33086
[2026-07-20T01:30:25.285Z] WS send cmd=38206
[2026-07-20T01:30:33.418Z] WS send cmd=33086
[2026-07-20T01:30:44.600Z] WS send cmd=33086
[2026-07-20T01:30:55.782Z] WS send cmd=38206
[2026-07-20T01:30:55.783Z] WS send cmd=33086
[2026-07-20T01:31:06.965Z] WS send cmd=33086
[2026-07-20T01:31:18.171Z] WS send cmd=33086
[2026-07-20T01:31:26.280Z] WS send cmd=38206
[2026-07-20T01:31:29.330Z] WS send cmd=33086
[2026-07-20T01:31:40.512Z] WS send cmd=33086
[2026-07-20T01:31:51.694Z] WS send cmd=33086
[2026-07-20T01:31:56.777Z] WS send cmd=38206
[2026-07-20T01:32:02.877Z] WS send cmd=33086
[2026-07-20T01:32:14.059Z] WS send cmd=33086
[2026-07-20T01:32:25.241Z] WS send cmd=33086
[2026-07-20T01:32:27.275Z] WS send cmd=38206
[2026-07-20T01:32:36.424Z] WS send cmd=33086
[2026-07-20T01:32:47.590Z] WS send cmd=33086
[2026-07-20T01:32:57.755Z] WS send cmd=38206
[2026-07-20T01:32:58.773Z] WS send cmd=33086
[2026-07-20T01:33:09.954Z] WS send cmd=33086
[2026-07-20T01:33:21.137Z] WS send cmd=33086
[2026-07-20T01:33:28.253Z] WS send cmd=38206
[2026-07-20T01:33:32.320Z] WS send cmd=33086
